en_phrases
"Sumon Drug House, "
"Abdul Halim Hairdresser Saloon, "
Gozmohol Road Chipa Goli
"Jaluli Govt Primary School, "
"Department of Sociel Science, "
"Rakib Telecome, "
"Jorna Pharmacy, "
"Sajek Senary Resort, "
"PITZA Rooftop- Pizza Restaurant & Coffee Bar, "
"Metaphor Academic Care, "
"Bochaganj Upazila Health Complex, "
"Barguna BRTC Bus Stop, "
NuaNagar - Krishnapur Link Road
"Heaven's Flower House, "
"SQUARE Center, "
"Playground, "
Biscuit Factory Goli
"Brac neuro developmental disability center, "
"E. Haque Coatching, "
"ABAKAZ, "
"Dhuldi Joypur Girls High School, "
"London Churchil College, "
"Chitalmari Upazila Health Complex, "
"Family Development Organization, "
Sultangonge Rayar Bazar Road
"Mosque attaching with Shahji bari madrasa, "
"Waste Disposal garbage, "
"Shitol Engineering, "
"Ultar vujon Khali Jami mosque, "
"Ramarbag Primary School, "
Kaitakhali Road
Talthola Road
"Max Hospital, "
"National Bank Ltd Warehouse, "
"Domino's, "
"Rupali Bank Limited EPZ Branch, "
"Mymensingh Town Hall Auditorium, "
"Somrat Super Market, "
"Shamol Traders, "
Hazrat Kalushah Road
Patgudam Circle
"BPDP Chittagong Office, "
"View Sonic, "
Road-3
"Tartila Pharma, "
"Jangalia Bus Terminal, "
"North Noya Vangoni Amanillah Chawdhuryr Barir Samner Mosque, "
"Soon Bari, "
"HATHAZARI PARBOTI HIGH SCHOOL, "
"Top 10 Garments & Bastralaya, "
"Chan Mia Jame Mosque, "
"Noyapada Mosque, "
"Zobayer Homeo Hall, "
"kasem villa, "
"Sheltech Grand Palace, "
"Dowdkandi Filling Station, "
Bogadi-Chula Road
"Baitul Gafur Jame Masjid & Madrasa, "
"Madhumati, "
Felabunia North West Wabda Road
"Horidra Khali Bazar, "
"Nurjahan Medical Store, "
"Jononi Medicine Corner, "
"Kohinore Super Market, "
"Singur High School, "
Jhalua-Dattagram Road
"Islampur Police Fari, "
"Sha alom gomaddar, "
Mistripara-Bagmara Road
"pankhali east ras temple, "
"Holy Health Hospital, "
"School Cum Cyclone Shelter And P.S.F, "
Distlary Road
Line 12
"AC Land Office, "
narrow path
"Meraz IT Solution, "
"Botola, "
"Canmari math Playground, "
"Aloka IT and Digital Studio, "
Holy Line
"Al Faruqui Jame mosque, "
Nowahat Road
"Jinjir Sah Mazar, "
"Chinakhora Bazar, "
"Rajbari College Math, "
"Halim Villa, "
Supermarket Road
"Kalipur manikkkhali govt primary school cum cyclone shelter, "
Dholpur Notun Rasta
"Food Fancy, "
"Baily Star, "
Chairman House Road
"Adarsha Boys High School, "
"Desh Bondhu Hospital, "
"Police Line Field, "
"Lions Eye Hospital, "
"Khan Bostraloy, "
"The Financial Express, "
"Mir Medicine Centre, "
"Hospital Playground, "
"Siam Hardware, "
"Gandi bari Jame Mosque, "
"Shahmirpur, "
"Saju Villa, "
"Achinto Medical, "
"Harfibol Ummah Mohila Madrassa, "
"Trust Bank Neval Base Brunch, "
"CUET Canteen 1, "
"Afif Medical, "
"Alamgonj Play Ground, "
"Invite 2 Food Corner, "
"Shopna Fashion, "
"SK Hospital, "
"Bepari Tower, "
"Mohsin Medical Hall, "
"Gadget 360, "
"Netrokona Technical College, "
"Book Shop, "
"Shangbadik Dakat market and Hotel, "
Hanging Bridge Road
Kacha road from Moulovi shako to Miar hat
"Rinti, "
"H.R Enterprise, "
"Purnima General Store, "
"Goala Bazar Bus Stop, "
"Molla Gram Jame Masjid, "
"Loknath sweet, "
"Active Pharmaceutical Ingredients API Industrial Park, "
"K.N.B Bazar, "
"Dhamoir hat central mosque, "
"Tanu Mansion, "
"Fulkoli, "
"Rom-III Sweets & Bakery, "
"Banishant Gov. Primary Schools, "
"Shamim Enterprise, "
New Beach Road
"Tube well of Jugi bari Jame Mosque, "
"Hotel Hill View, "
"Hospital Jame Mosjid, "
"Raj Hotel, "
"Alif S S Metal, "
"City Link, "
"Baitossalat Jame Masjid, "
"Makbul Hawlader House Jamay Mosque, "
"Chamanda Store, "
"Pantoneer, "
"koncharere dakhil Madrasha, "
"Kurigram Stadium, "
"North Western University Khulna, "
"Jamia Usmania Hosainabad Bakhrabaj, "
"WAPDA Building, "
"Paradise Bhaban, "
"bashundhara Restaurant bashundhara Restaurant, "
"Kanupur Village, "
"Eskaton Garden School Field, "
"Purba Ramtapur Government Primary School cum Shelter, "
Shagufta
"hawladar bari, "
"Manikganj Staduim, "
"Rahim Steel, "
Road from Fokir house to Shikdar house
"Rokonpur Girls High School, "
"Mriga, "
Road Brick Road
"Bochila Govt. Primary School, "
"Mollick Preparatory School, "
"BSMRSTU play ground, "
"Prema Jewellery, "
"K. M. Azam Lane Rasul Box Jame Mosque, "
"Dodhi Ghor, "
"South Bangla Agriculture & Commerce Bank Ltd, "
"Kaladaha, "
"Beat Rent a Car BD, "
Hatem Ali Rd
"Muslim Modern Academy, "
"Seikh Rasel Sishu Park, "
"Tube well of Nur Nobi Doctor house, "
Dewhata Bazar Rd
"Panishara Jame Masjid, "
"Babuganj Girls' High School, "
"Chakmoiram Mosque, "
"Chiknagul Bazar, "
"Jubo Unnoyon Academy Munshiganj, "
"Nawdabas Mosque, "
"Shantihar, "
"Sahata, "
"Ronogopaldi Dakhil Madrasha, "
"anondo kirton school, "
"Kamal Srimty Pathagar, "
"A-2000 System, "
"Tubewell's of Mujib house Sherpur, "
"Dulhan Cosmetics, "
"Busy Kids, "
"Gausia Market 2, "
Inani-Shamlapur
"Rina Jewellars, "
Bara Dighir Par Bus Stop
Doctor Bari Fulbaria road by-lane
KawranBazar Road
"Birail Palita, "
"Ramshing Primary School, "
"Adhunik Sharee Ghor, "
"Hasan Ali High School, "
katakhali belgharia road
"Shikari Bari Jame Mosjid, "
"Fusion Cafe & Lounge, "
Gala Road
"Salon, "
"Khana Khajana, "
"Basiruddin Road Masjid, "
Ducati Road Katgora
"Meera Educare International School & College, "
"Siam Pharma, "
"rice & noodle dhanmondi, "
"Fisharies Diploma Institute, "
Adjacent Road from Shonoor chukidar house's to fojlul rohoman house's
"Md Nurul Islam & Sons, "
"Mohon Chand Grand Son, "
Inner Road
"Lama Girls High School, "
"Jilani Chisti High School, "
"Dhuliani Govt Primary School, "
"Rinky Pharmacy, "
"Md Siddique Villa, "
"Lalmonirhat Public Church, "
"Family Spa And Beauty beauty_parlour, "
"Barrah Bazar, "
"Bhat Ghoor & Biriani House, "
"Mojlishpur boro badi jame masjid, "
"Union Resource Center URC, "
"Shaheena Reza Girl's School, "
"Big Pharmacy, "
"Bajerdanga Community Clinic, "
Nepal Chandra Rd
access road
"Shanto Furniture Center, "
"Mobile Point, "
Loxmikandor Bus Station
"Adarsha Medical, "
"Alphabyte, "
"DOHS Sqare, "
"Hazrat Abu Bakr Siddique Mosque, "
"Abedin Vila, "
"Oral Dental, "
Aulipura to Bilbilas road
"Rio Coffee Baskins Robbins, "
"Dohar Nawabganj Govt. College, "
"Mayerduya pushpo, "
"Tubwel Mohiuddin maji house., "
"Lotfur Rohoman, "
"Armed Police Battalion School & College, "
"Alhaj Abdul Kader Khan Hafizia Madrasa, "
"Grameen Shikkha, "
"RANGS Motors Ltd, "
"Saiful Bostraloy, "
"Kabila Eidgah, "
Anandadhara Road
"Gobra Mittra College, "
"Dashuria circle, "
"Peime Dental Care, "
"Rokxi Cloth Store, "
195 Shantibag Road
"Liham Place, "
Baptist Mishion Road
Beach Road
"TMSS Nursing College, "
Tatibazar
"Bijli Garmentd, "
"Election Office, "
"Sarah's Fashion, "
"KSRM Steel Plant Ltd., "
"Lady Pratima Mitra Girls High School, "
Hajraghat Road
"Aisha Vill, "
"Galiara, "
"Nur Begom Jame Masjid, "
"Rawzatul Atfal School, "
Yakub Kha Bari songlogno culvert
"Ctg88, "
Kazi Kanda Beri BAdh Katcha Rasta
Mirzapur Shakhipur road
Younus Kerani Bari Road
"Balaka Mansion, "
"Layla Beauty Parlour, "
"Green Homeo Pharmacy, "
"Comfort Pheotheraphy, "
Ashulia Bus Stopage
Balardhana to Kolabaria Road
"Ful jewelry, "
"Hotel Givenci, "
Madangonj - Langalbandh Road
"Moulvibazar Circuit House, "
Hajee Ashraf Ali Road
"Al-Madina Varieties Store, "
Carakhali Dhwatla Kacca Road
"Oishi Pharmacy, "
"Mirzapur-Shimultali Jame Mosjid, "
"BJIT Ltd -2rd Building, "
"Safa Marwa Travels, "
"Technical Training Center Jame Mosque, "
"Te-chars Room, "
"Choya Medicine Corner, "
"Topu Auto, "
Pach Rasta Bus Stop
"Cooper's, "
"NS Alam's Garden, "
"Azmol Varieties Store, "
Sitakunda DHK-CTG Bus Stand
"Seba pharmacy, "
"Lucky Hotel, "
"Mollah Kamrul Van Cycle Repair, "
"Deoli Govt Primary School, "
"Lax Farma, "
Nobab Bari Road
"Satkhira Pharmecy, "
"Sohid Metal & Steel House, "
Ujalpur - Kalachandpur Road
Kainal - Buligaon Road
Road No.5
"Sharifpur Govt. School, "
Tikri-Poliata Road
"Dokkhin Prantik Chatrabas, "
"St. Francis Xavier's Girls High School, "
"Sea-inn restaurant, "
"Popular Diagnostic Centre Limited, "
"Jamunia Bitus-salam Jam-e Masjid & Eidgah, "
"Sea View Hotel and Sports, "
"Premier Bank Limited, "
"Rampura Thana, "
"Cattle Farm, "
"Rupkari Govt primary School, "
Sagarpara to Resompotti
"Razapur Yeasin Memorial Govt Primary School, "
Road 2/2
"Mayer Dowa Hotel and Resturent, "
"Shahed Traders, "
"Khulna City Gate, "
South Khulshi Road 2
"Bangladesh Krira Shikkha Protishtan, "
"Lion Cycle, "
"Jahid Vila, "
"Allah Karim Jame Mosjid, "
"MDC Model High School, "
Kakraide - Hawda Road
"Office of Project Director, "
"Kolikata Harbal, "
Kirtipasha Rd
"RFL Showroom, "
"Bismillah Bostraloy, "
"Bhubankura, "
"Officer's club, "
Dhaka Highway Road
Kataltholi Road
"Purobi Filling Station, "
"Ifti Super Shop, "
"Hazi MD. Mohasin Market, "
"Nabir Char, "
"Caffe Dhansiri, "
"Three star hear cut, "
"Paikura, "
"Shaptibari School, "
"Satkhira hearing care centre, "
"new market, "
"Nahid Suplayers & Construction, "
"Prottasha Paradise, "
earthen road
Road 20
Road 102
Haridra Khali Beri Badh To Bojlu Shikderer Barir Road
"Baliarhat Jame Mosque, "
"Masjid Al Kaium and Islamic Center, "
"Fatema Monjil, "
Hatubhanga
"Sultana Vila, "
"Att-Tin, "
"Baitul Khair, "
"Ayesha Memorial Hospital, "
"Somurtajahan College Jatri Chauni, "
Pepsi goli
"Gopalgram, "
"Atlia Dakhil madrasa, "
Mirertek lane
"howli jame mosjid, "
"Sohel Store, "
"Ghazir Khamar, "
"Amligola park/playground, "
Salimullah Road
"Ansar Camp, "
"Chand fhasion, "
Pagla Bazar Still Frame O Concrete Bridge
"Rajvogh VIP Sweets, "
"Police Line School And College, "
"Tawhid Electronic, "
"Peninsular Khulna, "
Miar Pool Road
"Kachia Tobgi High School, "
"Icon Coaching Center, "
"Bardarban Sadar Thana, "
"Playground of FSET USTC, "
"1 No. Paschim Chhatnai Union Council, "
"Maa Telecom, "
"B.K JUNIOR HIGH SCHOOL, "
Shahajada Mia Lane
"Rajon Tea Stol, "
"Hizbullah Bostraloy, "
Hospital Rd
"Kadirpara, "
"SULTANA GIRLS HIGH SCHOOL, "
"Sunflower Pharmacy, "
"Primary Teachers Training Institute PTI, "
"Janoni homeopathic, "
"Nilachol Tourist Spot, "
"Najma monjil, "
"Vega Technology, "
Kalitola Post Office -Sardarpara Rd
"PERFECT, "
"Computer Zone, "
"Army Helipad, "
"Art it Care, "
"Nawdabas Maddrasa, "
"Town Hall Super Market, "
Kashimalta Bridge
"Cafe Imperial, "
"Rad homio, "
"Subhe Sadik School, "
"Eastern Bank Limited, "
"KARUGHAR fashion park, "
"Green Tiger Cycle Store, "
Haluaghat kanda road Nijgao
"CVASU Playground, "
"Iqbal Glass House, "
"China Steel, "
"Progoty Pharmacy, "
"Ariamugur Public High School, "
Panchari Old Bus Station
"Nazmul's House, "
"Camp 27, "
"Tangail Misti, "
"Amtola Uttarpara Jami Mosque, "
"Purbo Hosnabad Degree Collage, "
Goal Chattar
Sarder Bari Road
"Jalilia Mosque idgoan Bazar South., "
"SINGER Bangladesh, "
"Mokter Hossain High School, "
"Ghonar Chala Bazar Mosque, "
"Jaigir, "
"Akter Properties Ltd, "
"Janali Hat, "
"Sunrise Kindergarten, "
-
Dapdapia Road
"Pakundia Upazila Parishad, "
"Ashroykendra Govt Primary School, "
"Kulbaria High School, "
"Rowha, "
"Shishu Bidya Niketon, "
"Nasim Pharmacy, "
Baruthkhana Road
NOYA HAT
"Daudpur fish market, "
"south hadda polli unnoyon govt primary school, "
Terokhada Nachunia Nogorkandi
"Dakhil madrasha, "
"Ayin Uddin Barir Jami Mosque, "
"Rob vila, "
"Said Hairdresser, "
"Minar Pharmacy, "
"Sunami Restaurant, "
"Brownea Kitchen, "
"Jewel Optics, "
"Afsan Laundry and Dry Cleaner, "
"Horihorpur Progoti Youth Songho, "
"Chadpur General Store, "
Rangpur Kurigram Highway
"Bashna Eidgah Road, "
"Varomhigh High School, "
Duaripara Bus Stand
Chawra 3 no. ward
"Nagbari, "
"Usha Govt. Primary School, "
Mir Kanda Vanga Khal Masjid To Hanif Chairman Barir Rasta
"Bhabanipur Bazar, "
Rd. No. 2/ Kha
Dhaka - Barisal Highway
"Amanat shah complex, "
"Eric's Bistro cafe Gallery, "
"Agrani Bank Limited Station Road Branch, "
"Rubina, "
"Anowar Motors, "
"Satar Uddin High School, "
"2.0 Cafe, "
"Gaosia Restrurent, "
Dighinala - Langdu Road
Road No. 4A Block F
"Mollik bari mosque, "
"Fahim Pharmacy, "
"Bangladesh Bazar, "
Pagol Pur Majar Bridge
Shahagadi Market Bus Stop
Inter Residencial Road
"gobindo mondir, "
"Madan Unique Computer Training Centre, "
"Sanjida Beauty Fashion, "
"Eyor Dentist, "
"Ma Moni Jewellers, "
"M/S Turjo Filling Station, "
"Bri Lahirbari, "
"Shahjalal Upashahar High School, "
Pachuria Road
Choromonohoria Road
"Jamalul Quran Jam E Masjid, "
"Kamil Haouse, "
"Anex Diagonestics Center, "
"Wisdom Dental Care, "
"Islamia Eye Hospital, "
"Nagdemra, "
"Agrani Bank Limited Corporate Branch, "
Deul Gram Road
"High School Kotchadpur, "
"Fasiakhali Madrasha, "
"Sudip Paharmacy, "
"H Heardware, "
"Bacchu Paik house Tubwell, "
"Messrs R.K Pharmacy, "
"Kazi Hadayet Hossain Girls High School, "
"Osmani Medical High School, "
"Kauria port, "
"M/s.monir Motors, "
"J K Enterprise, "
"Sabuj Bangla Hotel, "
"Akter Bazaar, "
"Uttora Bank Ltd, "
"Residential Park, "
"Laxmipur bazar, "
"Saiful Filling Station, "
"314 Market on the east side of Haji Munshi house, "
Topobon Residential Area road
"Sarishabari Fire Service And Civil Defence Station, "
"R.S Standard School, "
"Borkondaj Bhaban Hori Temple, "
"Messrs Ayesha Medicine Corner, "
"Abloom Cafeteria, "
Jhau Chor Boro Moshjid Road
"Tripty Hotel, "
"Green Traders, "
"Hakimpur Upazila Health Complex, "
"Boilor Bazar, "
Bagmara Bus Stop
"Saint Martin Paribahan, "
"Gankosh Coaching Center, "
Shat Tara Masjid Road
"Hotel Moon International, "
"Sobhanpur Govt Primary School, "
"Jorekhali, "
"Agargaon New Colony Mosque, "
"Swarma House, "
"Prime Dental, "
"Daulatpur Police Station, "
"Matre Jewelers, "
"Mayer Doya Hair Dressers, "
"Ma mum Cosmetics, "
"KHADIJA KHANOM JUNIOR HIGH SCHOOL, "
"Shahnaj Villa, "
Tamakpotti Road
"Dinajpur Govt College, "
"S.K.A Engineearing, "
"Mone Rekho Fashion, "
"Pamp Bazar, "
"Ark Hospital, "
"Chand General Store, "
"Rahutola old Muslim Para Village, "
"Ghoper Hat Bazar, "
"Nakla Upazilla Health Complex, "
"Amratali, "
"International University of Scholars, "
"Mongla Port High School field, "
"Companiganj Bus Station, "
"Binodia Family Park Math, "
"Central Monument Patuakhali, "
"Choa-Diya Store, "
"MR Block & Boutique, "
"Hathazari Beat, "
"Zaara's Beauty, "
"Ajij Filling Station, "
"I.P.H.Saloon, "
"Khan Jahan Ali Restaurant in Bagerhat, "
"Madaripur Medical Hall, "
Lal Chand Road
Thana Para Road
"Heron Peyader Tubewell, "
"Baneswar Degree College, "
"Green Hair Cutting, "
"Amir Mia, "
"SAYEDER GAON SECONNDARY SCHOOL, "
"Midda bari Jame Mosque, "
Khatripara - Ramnagar Road
"New Taj Mahal Restaurent, "
"SDF office Patakat, "
"Gaji Bari Jame Mosque, "
Mulla Bari Road
"Raypara Ladies Hostel, "
Ladies Hall Road
"Sikddik Bazar Panir Tanky, "
"abu naser hospital helipad, "
"Niharika, "
"Panchadash Jamtoli High School, "
"Ripon Drug House, "
"Tripti Hotel, "
"Feroz, "
"Nur Miar Hat Govt. Primary School, "
Road 2B
"BETAR Rajshahi, "
Mirzapur Profasor Para
"Labaid Dokhina, "
"Maitrayee, "
Sarail - Nasirnagar - Lakhai - Habiganj Road
"Maszid-e-Ixbak-Noor, "
"United CommercialBank Ltd., "
"Baghutia K.S. High School, "
"Adnan Enterprise, "
"Piyashi Restaurant and Bar, "
"Seikh Farid Market, "
"31 No Uttar Ratanpur Government Primary School, "
"Bangladesh red crescent society., "
"Tiger Hill, "
"Habib Manson Variety Store, "
"Medical Hall, "
"CineMaker, "
"Sunlight Hair Dresser, "
"Arman hottel & restauran, "
"Sonali Bank Bangladesh Ltd., "
"Park shore, "
"Maayer Doa Garments, "
"Loipura Gorur Hat, "
"Safe Plus, "
"Shariatpur Sanitary Mart, "
"Purbachal Gomoti Garden City, "
Wooden Pool of Babur Khal Of Mostak Member of Jomitrtola Village
"Ranipur Bazar, "
"Ecstacsy, "
jumma para Road
"Aliganj Stadium, "
"Akbor Tredurs, "
"Markaj Mosque, "
"Saheed Kazi Aref School, "
Matlab-Dhaka Highway
"Playground Of Djmc, "
"Darur-rashad Jama Mosjid, "
"White House, "
"Grand Sultan Tea Resort & Golf, "
"Baghdad Car Flash, "
"Raishyabari, "
"Kaminibasiya Tetultola Durga Temple, "
"Royal Blue, "
"Hawlader vila, "
"Tree Top Restaurant, "
"Betel nut garden Chan miea sikder house., "
Lane 8/B
"Natasa Package Ltd, "
Uttor Para Road
Monaikandi Road
"Dakhin Ramkrishnapur Govt. Primary School, "
"TTC Jame Masjid, "
Bridge In front of Khajuria road
"Pinnacle Inn, "
"Nur Mia hat Mosque, "
"Chili's Banasree, "
"Bapari market collegeget, "
"Lutfa Mansion, "
"Public Library Complex Bangladesh, "
"Sundraw, "
"josna begam, "
Sir Iqbal Rd
"Bashail Eidgah, "
"Bonorupa Jame Masjid, "
"Center Point, "
"Kusli, "
"NSTU Central Field, "
"Embassy of the Arab Republic of Egypt, "
"Harun Eye Foundation Hospital, "
Bonomala Road
"Anor Ali Mia mosjid, "
"Old Mnigong Doratan Road, "
"Dhitpur Barail, "
"Emam Hauladerer Tubewell, "
"Lakshmipur Upazila Health Complex, "
"Bakerganj Medical hall, "
"Lal Chand & Grand Sons, "
"Singra Damdama Primari School, "
Pacca Road in front of Islamia Madrassa
"Riyaz Garments, "
Halishahar Khan Bari Connection Road
Boro Mosque Goli
"Rajbari Model Government Primary School, "
"Noore Jannat Mohila Madrassa, "
"Daudkandi PP, "
"Misco Confectionery, "
Kcca Road 102
"Radio Colony School and College, "
"A. Matin Bedding, "
"Rajib Pharmacy, "
"Md. Harun Villa, "
"Zam Zam Tower, "
15/1 Mehedibag Er Gate
"You F C Restaurant 2, "
Borai Bari Road
Netrokona Truck Station
"Siddeswari Girls' School, "
"Malai Masjid, "
"Shorifpur jame mosque, "
"Lalkuty Mosque, "
"Hoque Traders, "
"City Mahal, "
"Apon Pure Mart, "
"Hazrat Sayed Shah Mazar Sharif, "
"Chowdhury Bari Temple, "
"Modina Diagnostic and Consultation Centre, "
"baroi khali bazar, "
"Grameen Check, "
"Grameen Hotel, "
"Prime Collection, "
"Ministry of Planning, "
"West Khodaboxkati Bazar, "
"Blue Star Telecom, "
"Rafiq Jewelers, "
"Pipe road, "
"Bhola District Jail, "
"Kurigram, "
"Omar Ali Mia, "
Salam Palowaner Goli
"Birampur Govt College, "
Madhyapara Madrasha Road
"City Gate Inter District Bus Parking, "
PC Culture Road 3
Shah Ali Cooperative Society Goli
"Fellowship Church, "
"Mysoft Ltd., "
"Khan Electronics & Watch, "
"Beauty Lacchi Faluda & Kacchi Biriani, "
"Shoulmari Anandapur community learning center, "
Road from Borobari bazar to Patharghata Clouser
"Popular Stationary, "
"CHAR ILISHA JUNIOR SCHOOL, "
"Kalukhali Hori Temple, "
"Tripti Hotel and Restaurent, "
"Tina Moni, "
"Cat's Eye, "
14 no
Komarpur Bus Stop
"Patia Adarsha High School, "
"Alif hotel and resturent, "
Eidgah Para Road
"Talukdar Hut Bazaar, "
"Famous Steel House, "
"Air Headquarter Bus Stop, "
"WALTON Show Room, "
"Asiana Villa, "
"Momtaz, "
"Islamic Library, "
"Mina Monjil, "
"Bagoan K. C. V. N. High School, "
Boro crop harvesting road
Munsef Para Rd
"B.K ganguly lane kayet tuli, "
"Mokki Mashjid, "
"Winston Grammar School, "
"Sharif Machinery's, "
"Mohodipur Kaya Patrol Pam, "
"Bhairab Model Thana, "
"Abdul Kaka Snacks & Tea, "
"Monir Telecom, "
"Taste, "
"Nasim Osman Memorial Park, "
Road 10 Niketon
"Bahaddarhat Bazar Public Toilet, "
"Bangladesh Public Service Commission, "
"Balijuri Hossainia Anawarul Ulum Senior Madrasha, "
"Pathati Jame Mosque, "
"Brac Bank Ltd, "
"Green Heaven Kinder Garden, "
"Hotel Eastern, "
"Art-Gallery Jame Mosque, "
"Haque Telecom, "
"Target Computer Training Centre, "
"Ali Asgar Hospital, "
"Jarina Medical Store, "
"Colony Centrel Mosque, "
"Habibiya Masjid Market, "
Rupasdi - Bancharampur - Nabinagar Road
"DEPZ Substation, "
"Chatkhil, "
"Boro Miya Confectionery, "
"Kishoreganj Football Stadium, "
"Fresh Dental, "
Switch Ghat to Sohid Mridha House Road
"MADRASA, "
Malibagh Bazer Road
"Tarail Model Pilot High School, "
"Shamim Corporation, "
"Kalia Pourosova Karjaloy, "
"Haji Md jaru Mia Market Grocery Store, "
"Mayer Doya Beding Store, "
"Global Brand, "
"R.A.B - 8 Patuakhali, "
"Super Electronics, "
Adamjee Komol Minibus Stand
"Brac Bank ATM, "
"Jossim Auto Engineering Workshop, "
Khalpar Road
"Live kithcen, "
"D.I.T Plot Jame Mosque, "
"Manik Motors, "
"Nazim Pharmacy, "
"Bhai Bhai Shoes Store, "
Taltola Road
Pallwan Bari Road
"Que Bella, "
"Tong, "
"Amla Healthcare & Reachers, "
"Saheb bari sp, "
"LuLu, "
satalia chourasta to cyclone centre rooad
"BCS Confidence, "
"Mama Bhagina Glass & H/W Madonpur Shopping Complex Madonpur Bondor Narayangonj Bondor - Modonpur Hwy Bandar 1400, "
"NEW SONARGAON FASHION, "
"Local Market beside Molla House, "
"Modern Para Mosque, "
"#5 Water Tank, "
"mnuworld, "
Road 2E
"Nalitabari Kakarkandi, "
"Saw mil of Nizam Member, "
Road 10
"Swadesh Palli, "
"IMSF Road, "
"signboard Bamboo Market, "
"Chandan Villa, "
Sankartila Link
"Mithapukur, "
"Shamina Jewellers, "
Kaliakair Bazar Road
"City Hall, "
"Ananda Confectionery, "
"Tinlakhpir Bazaar, "
"Khan Vila, "
Road No 3
"Haque Sweet Vandar, "
Noluya Road
Culvert Krisno Dav Bari songlongno
"Milk Market, "
Peyaj Bazar Goli
"Mograpara Bus Station, "
"Liberation War Museum of Bangladesh Police, "
"Hazrat Fatema Mohila Madrasa, "
"MAHAJAM PUR M.L.HIGH SCHOOL, "
